track_id;artist_name;track_name;release_year;genre;sadness;danceability;topic;acousticness;energy
t2336;welshly arms;down to the river;2018;blues;0.0004079967723657;0.5624390772230045;world/life;0.0152600554819834;82.0
t2337;the california honeydrops;hold it down;2018;blues;0.5014377030585753;0.5949312249539696;sadness;0.2299189055410698;84.0
t2338;dorothy;ain’t our time to die;2018;blues;0.0009569379343944;0.3360771146972816;world/life;0.0103403718276825;76.0
t2339;phish;miss you (live);2018;blues;0.035899243662587;0.4682118488032059;obscene;0.2761036908671595;52.0
t2340;albert hammond, jr.;strangers;2018;blues;0.001223990282349;0.6230910863208059;night/time;0.0070070351476256;64.0
t2341;blackbird hill;to & fros;2018;blues;0.0020242916317826;0.3566554749268927;night/time;0.0076596462446247;71.0
t2342;lj echols;how low can you go;2018;blues;0.2039585221346347;0.8884436261236869;night/time;0.0140552349952158;55.0
t2343;all them witches;rob's dream;2018;blues;0.0576531478945719;0.3111664681035416;music;0.1797180519257549;43.0
t2344;avail hollywood;sinking in quick sand;2018;blues;0.0018148820762009;0.7357305317881513;world/life;0.0327299525401129;64.0
t2345;elvin bishop;(your love keeps lifting me) higher and higher;2018;blues;0.0006265664714592;0.5505252897216506;night/time;0.3805214663870144;95.0
t2346;buddy guy;guilty as charged;2018;blues;0.0579386929454686;0.4790425647135276;violence;0.1777100177811423;87.0
t2347;larkin poe;fly like an eagle;2018;blues;0.0065789474263155;0.6209249431387416;world/life;0.0195773288929004;61.0
t2348;blues saraceno;wicked gonna come;2018;blues;0.0013157895428766;0.5494422181306184;violence;0.0090652701458535;66.0
t2349;chris smither;she said she said;2018;blues;0.0087719299836909;0.6317556590490632;music;0.8343371830694609;40.0
t2350;ty segall;despoiler of cadaver;2018;blues;0.0025062656993145;0.702155312466154;violence;0.328312578627087;77.0
t2351;walter wolfman washington;lost mind;2018;blues;0.0006835270970276;0.6003465829091303;world/life;0.7098390661034801;18.0
t2352;blues saraceno;kicking and screaming;2018;blues;0.5808963626627792;0.5245315715368787;sadness;0.0006596392165052;85.0
t2353;cedric burnside;ain't gonna take no mess;2018;blues;0.0004017677949311;0.5570237192678438;obscene;0.0551195332525434;88.0
t2354;all them witches;hjtc;2018;blues;0.3370081706332882;0.3230802556048955;sadness;0.584336932065193;33.0
t2355;bernard allison;crusin for a bluesin;2018;blues;0.3706632499234308;0.5765190079064226;sadness;0.009306234243207;83.0
t2356;welshly arms;hammer;2018;blues;0.4819601906511037;0.4519657749377234;sadness;0.0251998244978157;72.0
t2357;the record company;coming home;2018;blues;0.0006578948164612;0.5082854976713962;music;0.0003674702484641;87.0
t2358;black rebel motorcycle club;king of bones;2018;blues;0.1349583927303767;0.4595472760749486;violence;0.0044769121254137;88.0
t2359;galactic;hold on to let go;2018;blues;0.0005659309745651;0.5223654283548144;obscene;0.0941757973652584;46.0
t2360;blues saraceno;the dark horse always wins;2018;blues;0.0013157894965378;0.3718184772013431;violence;0.0008072297261342;85.0
t2361;janiva magness;what i could do;2018;blues;0.351207080562856;0.527780786309975;sadness;0.8704817976724877;32.0
t2362;ted nugent;cocked, locked & ready to rock;2018;blues;0.0009074411644184;0.397812195386115;night/time;0.0036736984675687;95.0
t2363;welshly arms;love of the game;2018;blues;0.0009074410998762;0.5266977147189429;obscene;0.0378504396088751;83.0
t2364;the record company;i'm changing;2018;blues;0.1049150642898257;0.5667713635871331;world/life;0.6907627417296605;46.0
t2365;gina sicilia;man in the sky;2018;blues;0.253825802444923;0.6144265135925485;world/life;0.5903610344990307;76.0
t2366;the dictators;stay with me;2018;blues;0.3823163628757338;0.3945629806130185;sadness;0.0020572309811556;98.0
